Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
317.0,800652309,Nicolas Eduardo Barros Corredor,COL,2008.0,Unknown,Unknown,False
318.0,800652665,Alexander Kunitsyn,RUS,2010.0,Unknown,Unknown,False
319.0,800716820,Gadin Arun,USA,2010.0,Unknown,Unknown,False
320.0,800661025,Thomas PIOT,FRA,2009.0,Right Handed,Double Handed Backhand,False
321.0,800731445,Ikenna Prosper Okonkwo,NGR,2009.0,Right Handed,Double Handed Backhand,False
322.0,800543490,Timur Saulenko,KAZ,2008.0,Unknown,Unknown,False
323.0,800719079,SOTA KAGAWA,JPN,2009.0,Unknown,Unknown,False
324.0,800654322,ADRIA VELAZQUEZ FARRE,ESP,2009.0,Right Handed,Double Handed Backhand,False
325.0,800601986,Nikolai Shibani,NOR,2008.0,Right Handed,Double Handed Backhand,False
326.0,800630549,Mattia Logrippo,ITA,2009.0,Left Handed,Double Handed Backhand,False
327.0,800710169,Lachlan King,AUS,2009.0,Right Handed,Double Handed Backhand,False
328.0,800800115,Sebastian Inaki Godoy,USA,2009.0,Unknown,Unknown,False
329.0,800716194,William Zhang,USA,2008.0,Right Handed,Double Handed Backhand,False
330.0,800722085,TZU-YUAN TSENG,TPE,2008.0,Unknown,Unknown,False
331.0,800664821,Eric Lorimer,GBR,2010.0,Unknown,Unknown,False
332.0,800757256,Anay Kulkarni,USA,2010.0,Unknown,Unknown,False
333.0,800703955,Tobias Cank,CZE,2008.0,Unknown,Unknown,False
334.0,800676373,Matyas Marsik,CZE,2010.0,Unknown,Unknown,False
335.0,800667373,Motoharu Abe,JPN,2009.0,Unknown,Unknown,False
336.0,800749558,Robert McAdoo,USA,2009.0,Right Handed,Double Handed Backhand,False
